,abstract_id,sentence_index,synonym_tokens,original_tokens,attack_successful,num_changed,divergence,token_index,num_queries,changed_sentences,num_entities_changed,synonym_prob,semantic_sim,attack_type,synonyms_prob,num_changes_in_pred,comp_mode,original_token,synonym
0,11336940,0,mology,##mo ##l,False,1,3.548925860741292e-06,5,18,,,,0.9258539080619812,merge,0.9894475936889648,0.0,class_change,,
1,11336940,0,ames,op,False,2,6.639747880399227e-06,2,19,,,,0.7631992101669312,replace,0.7039489150047302,0.0,class_change,,
2,11336940,0,k,##ht,False,3,8.039311978791375e-06,3,20,,,,0.9031805992126465,replace,0.1781056821346283,0.0,class_change,,
3,11336940,0,ethyl,j,True,4,0.0004937206977047026,1,21,,,,0.7590364217758179,replace,0.07075072824954987,1.0,class_change,,
4,11336940,1,ns,131,False,1,9.73513465396536e-07,3.0,5,,,,0.8740147352218628,replace,0.032778531312942505,0.0,class_change,,
5,11336940,1,;,2001,False,2,3.6967296637158142e-06,0.0,6,,,,0.8209648132324219,replace,0.06837106496095657,0.0,class_change,,
6,11336940,1,),5,False,3,1.7753918655216694e-06,5.0,7,,,,0.986789345741272,replace,0.053720299154520035,0.0,class_change,,
7,11336940,1,,,False,0,,,7,,,,,,,,,,
8,11336940,2,placebo,double,True,1,0.22003871202468872,3,77,,,,0.8541474342346191,replace,0.24205707013607025,10.0,class_change,,
9,11336940,3,pt,hm,False,1,5.404314720180992e-07,37,67,,,,0.9438062906265259,replace,0.10286235064268112,0.0,class_change,,
10,11336940,3,y,l,False,2,2.7345279249857413e-06,33,68,,,,0.988472044467926,replace,0.2506825029850006,0.0,class_change,,
11,11336940,3,ip,##h,False,3,4.859738055529306e-06,16,69,,,,0.9120659828186035,replace,0.11803595721721649,0.0,class_change,,
12,11336940,3,ng,lee,False,4,2.240352660010103e-05,36,70,,,,0.9189278483390808,replace,0.08812427520751953,0.0,class_change,,
13,11336940,3,q,##g,False,5,1.9326689653098583e-05,26,71,,,,0.9827383756637573,replace,0.034229692071676254,0.0,class_change,,
14,11336940,3,h,j,False,6,2.980697900056839e-05,19,72,,,,0.9890711307525635,replace,0.12003642320632935,0.0,class_change,,
15,11336940,3,ch,k,False,7,3.938159716199152e-05,22,73,,,,0.9809858202934265,replace,0.1074938029050827,0.0,class_change,,
16,11336940,3,h,##hn,False,8,7.782843749737367e-05,23,74,,,,0.9470251798629761,replace,0.08008111268281937,0.0,class_change,,
17,11336940,3,cc,pt,False,9,8.101244020508602e-05,8,75,,,,0.9697611331939697,replace,0.2824443578720093,0.0,class_change,,
18,11336940,3,ng,chan,False,10,0.00013461678463499993,14,76,,,,0.9640438556671143,replace,0.045614615082740784,0.0,class_change,,
19,11336940,3,h,c,False,11,0.00015863392036408186,25,77,,,,0.995202898979187,replace,0.2089230865240097,0.0,class_change,,
20,11336940,3,ng,##l,False,12,0.0003131467383354902,20,78,,,,0.9746478796005249,replace,0.049874819815158844,0.0,class_change,,
21,11336940,3,ng,##p,False,13,0.0005148680065758526,11,79,,,,0.9457451105117798,replace,0.13680975139141083,0.0,class_change,,
22,11336940,3,",",##g,False,14,0.0004860240442212671,24,80,,,,0.9957519769668579,replace,0.842673122882843,0.0,class_change,,
23,11336940,3,ng,##h,False,15,0.000549407210201025,29,81,,,,0.9546386003494263,replace,0.06323210150003433,0.0,class_change,,
24,11336940,3,",",##ng,False,16,0.0005717680905945599,1,82,,,,0.9499396085739136,replace,0.9151546955108643,0.0,class_change,,
25,11336940,3,pt,cc,False,17,0.0005901168915443122,12,83,,,,0.9744155406951904,replace,0.17660540342330933,0.0,class_change,,
26,11336940,3,pt,1,False,18,0.0005727687967009842,4,84,,,,0.9243192672729492,replace,0.4679577648639679,0.0,class_change,,
27,11336940,3,l,ho,False,19,0.000661939091514796,28,85,,,,0.984300971031189,replace,0.2615871727466583,0.0,class_change,,
28,11336940,3,g,st,False,20,0.000863905530422926,30,86,,,,0.9747939109802246,replace,0.03937402740120888,0.0,class_change,,
29,11336940,3,g,##h,False,21,0.0009721604292280972,34,87,,,,0.9877347946166992,replace,0.11433792859315872,0.0,class_change,,
30,11336940,3,ng,chew,False,22,0.0009576745214872062,7,88,,,,0.8132431507110596,replace,0.03896421939134598,0.0,class_change,,
31,11336940,3,ch,ng l,True,23,0.0019011794356629252,32,89,,,,0.9645670652389526,merge,0.09176730364561081,1.0,class_change,,
32,11336940,4,Contact,author,False,1,4.6082809603831265e-06,0,14,,,,0.717995285987854,replace,0.23445488512516022,0.0,class_change,,
33,11336940,4,",",singapore,False,2,1.0364106856286526e-05,6,15,,,,0.9892300963401794,replace,0.3623182773590088,0.0,class_change,,
34,11336940,4,protected,1,False,3,6.517657311633229e-06,4,16,,,,0.8994907736778259,replace,0.1285770833492279,0.0,class_change,,
35,11336940,4,google,",",True,4,0.00042140562436543405,11,17,,,,0.416465699672699,insert,0.13395805656909943,1.0,class_change,,
36,11336940,5,chlor,la ##tan,True,1,0.21635323762893677,17,56,,,,0.8385351300239563,merge,0.21023595333099365,14.0,class_change,,
37,11336940,6,late,the,True,1,0.24477340281009674,51,70,,,,0.9681093096733093,insert,0.2954064905643463,10.0,class_change,,
38,11336940,7,placebo,week,False,1,0.00021293503232300282,23.0,36,,,,0.8606526851654053,insert,0.12165795266628265,0.0,class_change,,
39,11336940,7,treatment,the study,False,2,0.0002872645854949951,0.0,37,,,,0.8874906301498413,merge,0.0504055954515934,0.0,class_change,,
40,11336940,7,week,month separated,False,3,0.0003391281934455037,16.0,38,,,,0.9291576147079468,merge,0.41748538613319397,0.0,class_change,,
41,11336940,7,cycles,treatment periods,False,4,0.0003653024323284626,12.0,39,,,,0.8933274745941162,merge,0.3137984871864319,0.0,class_change,,
42,11336940,7,wash,week wash,False,5,0.000142886841786094,22.0,40,,,,0.956373393535614,merge,0.27788227796554565,0.0,class_change,,
43,11336940,7,by,a crossover,False,6,0.00015700158837717026,7.0,41,,,,0.9675426483154297,merge,0.3633843660354614,0.0,class_change,,
44,11336940,7,randomized,double masked,False,7,0.00017784575175028294,3.0,42,,,,0.8973108530044556,merge,0.40688467025756836,0.0,class_change,,
45,11336940,7,intermittent,two,False,8,0.0003078665176872164,11.0,43,,,,0.9298527836799622,replace,0.06244824081659317,0.0,class_change,,
46,11336940,7,24,3,False,9,0.00027157654403708875,20.0,44,,,,0.8504241704940796,replace,0.11295206099748611,0.0,class_change,,
47,11336940,7,trial,design,False,10,0.00019539869390428066,9.0,45,,,,0.929884135723114,replace,0.2699304521083832,0.0,class_change,,
48,11336940,7,completing,by,False,11,0.00017313200805801898,19.0,46,,,,0.9084107875823975,insert,0.07886294275522232,0.0,class_change,,
49,11336940,7,utilized,followed,False,12,0.00019775696273427457,6.0,47,,,,0.9358120560646057,replace,0.14067335426807404,0.0,class_change,,
50,11336940,7,treatment,##out,False,13,0.0002532689832150936,25.0,48,,,,0.9107794165611267,insert,0.2029738426208496,0.0,class_change,,
51,11336940,7,,,False,0,,,48,,,,,,,,,,
52,11336940,8,last,##ular pressure,False,1,5.1341019570827484e-05,3.0,40,,,,0.7368184924125671,merge,0.1975569874048233,0.0,class_change,,
53,11336940,8,bin,the intra,False,2,9.80209224508144e-05,0.0,41,,,,0.9410879611968994,merge,0.20016087591648102,0.0,class_change,,
54,11336940,8,day,the baseline,False,3,0.00013345184561330825,14.0,42,,,,0.952290415763855,merge,0.48334237933158875,0.0,class_change,,
55,11336940,8,cell,##oc,False,4,7.374584674835205e-05,2.0,43,,,,0.8635544776916504,replace,0.7084687948226929,0.0,class_change,,
56,11336940,8,patient,treatment period,False,5,2.5032999474206008e-05,34.0,44,,,,0.8718961477279663,merge,0.27150100469589233,0.0,class_change,,
57,11336940,8,3,14 visits,False,6,4.9551668780623004e-05,30.0,45,,,,0.7878137826919556,merge,0.533892035484314,0.0,class_change,,
